Bldg,Room,7AM,8AM,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM,6PM,7PM,8PM,9PM,10PM,Piano
BNSN,W005,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,piano
BNSN,W006,True,False,False,True,True,False,False,False,False,True,False,False,True,True,True,True,piano
CB,254,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,piano
CB,256,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,piano
CB,369,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,piano
CB,381,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,pia-no
CB,385,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,pia-no
CTB,240,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,pia-no
CTB,250,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,piano
CTB,340,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True,pia-no
ESC,C215,True,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,piano
ESC,C247,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,piano
ESC,C295,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,piano
HFAC,A232,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,pia-no
HFAC,C580,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,piano
HFAC,E335,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,True,piano
HFAC,E353,True,True,False,False,True,False,True,True,True,True,False,False,True,True,True,True,piano
HFAC,E371,True,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,piano
HFAC,E379,True,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,piano
JFSB,B032,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,piano
JFSB,B062,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,piano
JFSB,B106,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,piano
JFSB,B135,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,piano
JKB,1002,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,pia-no
JKB,1004,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,pia-no
JKB,1105,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,piano
JKB,1106,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,pia-no
JKB,1126,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,piano
JKB,1127,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,pia-no
JKB,2002,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,piano
JKB,2004,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,piano
JKB,2104,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,piano
JKB,2105,True,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,piano
JKB,2111,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,piano
JKB,2113,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,piano
JKB,3104,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,piano
JKB,3106,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,piano
JRCB,205,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,piano
JRCB,206,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,piano
JRCB,208,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,piano
JRCB,306,True,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,piano
JRCB,314,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,piano
JSB,103,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,piano
JSB,106,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,piano
JSB,107,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,piano
JSB,110,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,piano
JSB,114,True,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,piano
JSB,171,True,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,piano
JSB,178,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,pia-no
JSB,179,True,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,pia-no
JSB,182,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,piano
JSB,202,True,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True,piano
JSB,203,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,piano
